V4	SYMBOL	GENENAME	seqnames	start	end	width	strand	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL
IP1_peak_1188	Celf2	CUGBP, Elav-like family member 2	chr2	6594885	6594885	1	*	11.10482	Promoter (2-3kb)	2	6546872	6592800	45929	2	14007	ENSMUST00000182355.1	-2085	ENSMUSG00000002107
IP1_peak_2051	Klf13	Kruppel-like transcription factor 13	chr7	63986969	63986969	1	*	11.10482	Distal Intergenic	7	63886351	63938915	52565	2	50794	ENSMUST00000063694.9	-48054	ENSMUSG00000052040
IP1_peak_2398	1700034K08Rik	RIKEN cDNA 1700034K08 gene	chr9	92930783	92930783	1	*	11.10482	Distal Intergenic	9	92979914	92990733	10820	2	78349	ENSMUST00000185830.6	59950	ENSMUSG00000100294
IP1_peak_1843	Ncor2	nuclear receptor co-repressor 2	chr5	125173068	125173068	1	*	11.06192	Intron (ENSMUST00000111402.8/20602, intron 1 of 47)	5	125017162	125179053	161892	2	20602	ENSMUST00000086083.10	5985	ENSMUSG00000029478
IP1_peak_2067	Mir9-3hg	Mir9-3 host gene	chr7	79512055	79512055	1	*	11.0191	Intron (ENSMUST00000182495.1/101694, intron 1 of 1)	7	79515232	79532591	17360	1	101694	ENSMUST00000180881.2	-3177	ENSMUSG00000097023
IP1_peak_725	Dhrs4	dehydrogenase/reductase 4	chr14	55484929	55484929	1	*	10.92343	Promoter (2-3kb)	14	55487192	55490338	3147	1	28200	ENSMUST00000227542.1	-2263	ENSMUSG00000022210
IP1_peak_35	Gtf3c3	general transcription factor IIIC, polypeptide 3	chr1	54485127	54485127	1	*	10.77882	Intron (ENSMUST00000097739.4/241062, intron 25 of 26)	1	54396004	54438971	42968	2	98488	ENSMUST00000041638.7	-46156	ENSMUSG00000041303
IP1_peak_57	Slc4a3	solute carrier family 4 (anion exchanger), member 3	chr1	75693350	75693350	1	*	10.77882	Distal Intergenic	1	75551709	75553732	2024	1	20536	ENSMUST00000132110.1	141641	ENSMUSG00000006576
IP1_peak_107	Optc	opticin	chr1	133908157	133908157	1	*	10.77882	Promoter (<=1kb)	1	133897200	133907999	10800	2	269120	ENSMUST00000153617.8	-158	ENSMUSG00000010311
IP1_peak_165	9630028B13Rik	RIKEN cDNA 9630028B13 gene	chr1	185439044	185439044	1	*	10.77882	Promoter (2-3kb)	1	185429355	185441819	12465	2	319562	ENSMUST00000143787.2	2775	ENSMUSG00000051295
IP1_peak_176	Camk1g	calcium/calmodulin-dependent protein kinase I gamma	chr1	193406286	193406286	1	*	10.77882	Distal Intergenic	1	193346346	193370298	23953	2	215303	ENSMUST00000016323.10	-35988	ENSMUSG00000016179
IP1_peak_203	Tbpl1	TATA box binding protein-like 1	chr10	22746570	22746570	1	*	10.77882	Distal Intergenic	10	22705381	22731938	26558	2	237336	ENSMUST00000095794.3	-14632	ENSMUSG00000071359
IP1_peak_292	Gm30539	predicted gene, 30539	chr10	126957914	126957914	1	*	10.77882	Promoter (<=1kb)	10	126958023	126960997	2975	1	102632477	ENSMUST00000217769.1	-109	ENSMUSG00000112035
IP1_peak_743	Nefl	neurofilament, light polypeptide	chr14	68040905	68040905	1	*	10.77882	Distal Intergenic	14	68083863	68089095	5233	1	18039	ENSMUST00000022639.7	-42958	ENSMUSG00000022055
IP1_peak_799	Myo10	myosin X	chr15	25760454	25760454	1	*	10.77882	Promoter (1-2kb)	15	25758785	25780409	21625	1	17909	ENSMUST00000124966.7	1669	ENSMUSG00000022272
IP1_peak_1053	Zfp438	zinc finger protein 438	chr18	5428042	5428042	1	*	10.77882	Distal Intergenic	18	5210124	5334807	124684	2	240186	ENSMUST00000234241.1	-93235	ENSMUSG00000050945
IP1_peak_1239	Acvr2a	activin receptor IIA	chr2	48539124	48539124	1	*	10.77882	Distal Intergenic	2	48814109	48903269	89161	1	11480	ENSMUST00000063886.3	-274985	ENSMUSG00000052155
IP1_peak_1328	Rin2	Ras and Rab interactor 2	chr2	145866448	145866448	1	*	10.77882	Intron (ENSMUST00000110005.7/74030, intron 8 of 11)	2	145862644	145878974	16331	1	74030	ENSMUST00000145874.1	3804	ENSMUSG00000001768
IP1_peak_1373	Prex1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	chr2	166637066	166637066	1	*	10.77882	Promoter (1-2kb)	2	166566960	166638968	72009	2	277360	ENSMUST00000099080.8	1902	ENSMUSG00000039621
IP1_peak_1571	Astn2	astrotactin 2	chr4	66401582	66401582	1	*	10.77882	Promoter (2-3kb)	4	65380803	66404483	1023681	2	56079	ENSMUST00000084496.2	2901	ENSMUSG00000028373
IP1_peak_1648	Rragc	Ras-related GTP binding C	chr4	124048760	124048760	1	*	10.77882	Distal Intergenic	4	123921282	123935546	14265	1	54170	ENSMUST00000155454.1	127478	ENSMUSG00000028646
IP1_peak_1761	Epha5	Eph receptor A5	chr5	85239766	85239766	1	*	10.77882	Distal Intergenic	5	84330775	84417382	86608	2	13839	ENSMUST00000136775.1	-822384	ENSMUSG00000029245
IP1_peak_1912	Cped1	cadherin-like and PC-esterase domain containing 1	chr6	22205947	22205947	1	*	10.77882	Intron (ENSMUST00000115383.8/214642, intron 15 of 21)	6	22135546	22145551	10006	1	214642	ENSMUST00000154734.1	70401	ENSMUSG00000062980
IP1_peak_2127	Gm4265	predicted gene 4265	chr7	129918734	129918734	1	*	10.77882	Distal Intergenic	7	129962165	129978669	16505	1	100043150	ENSMUST00000206701.1	-43431	NA
IP1_peak_2238	Tox3	TOX high mobility group box family member 3	chr8	90272186	90272186	1	*	10.77882	Intron (ENSMUST00000109621.9/244579, intron 2 of 6)	8	90257946	90348126	90181	2	244579	ENSMUST00000176034.1	75940	ENSMUSG00000043668
IP1_peak_2242	Gm19935	predicted gene, 19935	chr8	90635949	90635949	1	*	10.77882	Distal Intergenic	8	90816145	90817393	1249	2	100503868	ENSMUST00000209208.1	181444	ENSMUSG00000110332
IP1_peak_2251	Dok4	docking protein 4	chr8	94872379	94872379	1	*	10.77882	Promoter (<=1kb)	8	94867448	94871716	4269	2	114255	ENSMUST00000211892.1	-663	ENSMUSG00000040631
IP1_peak_2209	Fcho1	FCH domain only 1	chr8	71719275	71719275	1	*	10.68168	Promoter (2-3kb)	8	71708387	71721307	12921	2	74015	ENSMUST00000093444.12	2032	ENSMUSG00000070000
IP1_peak_16	Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2	chr1	32309896	32309896	1	*	10.67449	Intron (ENSMUST00000027226.11/170771, intron 2 of 8)	1	32315015	32414934	99920	1	170771	ENSMUST00000186984.1	-5119	ENSMUSG00000026058
IP1_peak_145	Nhlh1	nescient helix loop helix 1	chr1	172048661	172048661	1	*	10.67449	Distal Intergenic	1	172052292	172057573	5282	2	18071	ENSMUST00000059794.3	8912	ENSMUSG00000051251
IP1_peak_150	Cadm3	cell adhesion molecule 3	chr1	173342619	173342619	1	*	10.67449	Promoter (<=1kb)	1	173336839	173341926	5088	2	94332	ENSMUST00000136540.1	-693	ENSMUSG00000005338
IP1_peak_472	Hbp1	high mobility group box transcription factor 1	chr12	31983516	31983516	1	*	10.67449	Intron (ENSMUST00000003079.11/19088, intron 4 of 11)	12	31926254	31950535	24282	2	73389	ENSMUST00000172314.8	-32981	ENSMUSG00000002996
IP1_peak_714	Sh2d4b	SH2 domain containing 4B	chr14	40684899	40684899	1	*	10.67449	Distal Intergenic	14	40813789	40853305	39517	2	328381	ENSMUST00000070328.9	168406	ENSMUSG00000037833
IP1_peak_745	Stc1	stanniocalcin 1	chr14	69057479	69057479	1	*	10.67449	Distal Intergenic	14	69029238	69041804	12567	1	20855	ENSMUST00000014957.9	28241	ENSMUSG00000014813
IP1_peak_766	Klhl1	kelch-like 1	chr14	97101547	97101547	1	*	10.67449	Distal Intergenic	14	96102736	96519102	416367	2	93688	ENSMUST00000022666.8	-582445	ENSMUSG00000022076
IP1_peak_836	1700012I11Rik	RIKEN cDNA 1700012I11 gene	chr15	67249233	67249233	1	*	10.67449	Intron (ENSMUST00000187233.1/69334, intron 2 of 8)	15	67226769	67377094	150326	1	69334	ENSMUST00000187233.1	22464	ENSMUSG00000102069
IP1_peak_888	Clxn	calaxin	chr16	15053145	15053145	1	*	10.67449	Distal Intergenic	16	14906665	14981371	74707	1	66793	ENSMUST00000229121.1	146480	ENSMUSG00000068617
IP1_peak_1041	Map4k3	mitogen-activated protein kinase kinase kinase kinase 3	chr17	80801570	80801570	1	*	10.67449	Distal Intergenic	17	80653861	80728485	74625	2	225028	ENSMUST00000234249.1	-73085	ENSMUSG00000024242
IP1_peak_1445	Veph1	ventricular zone expressed PH domain-containing 1	chr3	66480873	66480873	1	*	10.67449	Distal Intergenic	3	66053558	66296837	243280	2	72789	ENSMUST00000029419.7	-184036	ENSMUSG00000027831
IP1_peak_1526	Chd7	chromodomain helicase DNA binding protein 7	chr4	9028796	9028796	1	*	10.67449	Distal Intergenic	4	8855231	8858618	3388	1	320790	ENSMUST00000222546.1	173565	ENSMUSG00000041235
IP1_peak_1564	Zfp462	zinc finger protein 462	chr4	54758415	54758415	1	*	10.67449	Distal Intergenic	4	54945048	55008314	63267	1	242466	ENSMUST00000133895.7	-186633	ENSMUSG00000060206
IP1_peak_1983	Foxp1	forkhead box P1	chr6	99485773	99485773	1	*	10.67449	Intron (ENSMUST00000176565.7/108655, intron 1 of 19)	6	98929189	99520997	591809	2	108655	ENSMUST00000176565.7	35224	ENSMUSG00000030067
IP1_peak_2168	Gm8096	3-phosphoglycerate dehydrogenase pseudogene	chr8	28597005	28597005	1	*	10.67449	Distal Intergenic	8	28083330	28084920	1591	2	666422	ENSMUST00000209921.1	-512085	ENSMUSG00000110372
IP1_peak_2349	AI593442	expressed sequence AI593442	chr9	52591515	52591515	1	*	10.67449	Distal Intergenic	9	52673044	52679429	6386	2	330941	ENSMUST00000098768.2	87914	ENSMUSG00000078307
IP1_peak_2447	Nhsl2	NHS like 2	chrX	102082048	102082048	1	*	10.67449	Intron (ENSMUST00000101339.7/100042480, intron 7 of 7)	20	102072942	102080300	7359	1	100042480	ENSMUST00000129185.1	9106	ENSMUSG00000079481
IP1_peak_1815	Suds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	chr5	116886371	116886371	1	*	10.65815	Distal Intergenic	5	117094959	117098811	3853	2	71954	ENSMUST00000202684.1	212440	ENSMUSG00000066900
IP1_peak_33	Gm17767	predicted gene, 17767	chr1	51650504	51650504	1	*	10.61085	Distal Intergenic	1	51509505	51596718	87214	2	100045066	ENSMUST00000189410.1	-53786	ENSMUSG00000099413
IP1_peak_197	Abracl	ABRA C-terminal like	chr10	18020636	18020636	1	*	10.61085	Promoter (2-3kb)	10	18011524	18022878	11355	2	73112	ENSMUST00000218994.1	2242	ENSMUSG00000078453
IP1_peak_988	Ezr	ezrin	chr17	6729504	6729504	1	*	10.61085	Intron (ENSMUST00000097430.9/83672, intron 11 of 15)	17	6740837	6742821	1985	2	22350	ENSMUST00000131131.1	13317	ENSMUSG00000052397
IP1_peak_1255	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3	chr2	55818248	55818248	1	*	10.61085	Distal Intergenic	2	55437165	55598140	160976	1	16519	ENSMUST00000112632.1	381083	ENSMUSG00000026824
IP1_peak_1290	Commd9	COMM domain containing 9	chr2	101951297	101951297	1	*	10.61085	3' UTR	2	101886263	101895399	9137	1	76501	ENSMUST00000156799.1	65034	ENSMUSG00000027163
IP1_peak_1304	Mpped2	metallophosphoesterase domain containing 2	chr2	106849608	106849608	1	*	10.61085	Intron (ENSMUST00000111063.7/77015, intron 4 of 6)	2	106730490	106783977	53488	1	77015	ENSMUST00000133401.1	119118	ENSMUSG00000016386
IP1_peak_1436	Ufm1	ubiquitin-fold modifier 1	chr3	53984811	53984811	1	*	10.61085	Distal Intergenic	3	53853376	53863830	10455	2	67890	ENSMUST00000146598.7	-120981	ENSMUSG00000027746
IP1_peak_1724	Lhfpl3	lipoma HMGIC fusion partner-like 3	chr5	23003583	23003583	1	*	10.61085	Intron (ENSMUST00000197992.1/269629, intron 1 of 3)	5	23100552	23275588	175037	1	269629	ENSMUST00000196406.1	-96969	ENSMUSG00000106379
IP1_peak_1758	1700017L05Rik	RIKEN cDNA 1700017L05 gene	chr5	78622654	78622654	1	*	10.61085	Distal Intergenic	5	77465488	77468851	3364	1	69370	ENSMUST00000201654.1	1157166	ENSMUSG00000107232
IP1_peak_1929	C530044C16Rik	RIKEN cDNA C530044C16 gene	chr6	50778043	50778043	1	*	10.61085	Promoter (1-2kb)	6	50776324	50815033	38710	1	319981	ENSMUST00000204275.1	1719	ENSMUSG00000107667
IP1_peak_2340	Ncam1	neural cell adhesion molecule 1	chr9	49745971	49745971	1	*	10.61085	Intron (ENSMUST00000193547.5/17967, intron 1 of 17)	9	49531276	49798758	267483	2	17967	ENSMUST00000192584.1	52787	ENSMUSG00000039542
IP1_peak_92	Nckap5	NCK-associated protein 5	chr1	126573763	126573763	1	*	10.55776	Intron (ENSMUST00000094609.9/210356, intron 2 of 12)	1	125913620	126492927	579308	2	210356	ENSMUST00000161954.7	-80836	ENSMUSG00000049690
IP1_peak_183	Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2	chr10	8038041	8038041	1	*	10.55776	Distal Intergenic	10	7905653	7956230	50578	2	68652	ENSMUST00000146444.7	-81811	ENSMUSG00000015755
IP1_peak_595	4931429P17Rik	RIKEN cDNA 4931429P17 gene	chr13	48027955	48027955	1	*	10.55776	Distal Intergenic	13	47960330	48018608	58279	2	70971	ENSMUST00000061899.5	-9347	ENSMUSG00000047324
IP1_peak_755	4930431P22Rik	RIKEN cDNA 4930431P22 gene	chr14	76740434	76740434	1	*	10.55776	Distal Intergenic	14	76760131	76762217	2087	1	73883	ENSMUST00000228541.1	-19697	ENSMUSG00000115709
IP1_peak_1049	Ppp1r21	protein phosphatase 1, regulatory subunit 21	chr17	88524630	88524630	1	*	10.55776	Distal Intergenic	17	88530118	88588367	58250	1	73825	ENSMUST00000038551.7	-5488	ENSMUSG00000034709
IP1_peak_2185	Fat1	FAT atypical cadherin 1	chr8	44696268	44696268	1	*	10.55776	Distal Intergenic	8	44935447	45052257	116811	1	14107	ENSMUST00000191428.6	-239179	ENSMUSG00000070047
IP1_peak_252	Krtap10-34	keratin associated protein 10-34	chr10	77798657	77798657	1	*	10.53331	Promoter (<=1kb)	10	77798387	77799133	747	2	100503388	ENSMUST00000178581.1	476	ENSMUSG00000096380
IP1_peak_173	Gm29678	predicted gene, 29678	chr1	190298078	190298078	1	*	10.5268	Distal Intergenic	1	190403645	190417145	13501	1	433390	ENSMUST00000193966.1	-105567	ENSMUSG00000103644
IP1_peak_536	Syne3	spectrin repeat containing, nuclear envelope family member 3	chr12	104965385	104965385	1	*	10.5268	Intron (ENSMUST00000067005.10/212073, intron 3 of 16)	12	104929949	104998677	68729	2	212073	ENSMUST00000109927.1	33292	ENSMUSG00000054150
IP1_peak_1268	6430710C18Rik	RIKEN cDNA 6430710C18 gene	chr2	72781868	72781868	1	*	10.5268	Intron (ENSMUST00000136807.7/76218, intron 4 of 5)	2	72784991	72800154	15164	2	76218	ENSMUST00000125746.1	18286	ENSMUSG00000085427
IP1_peak_1716	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	chr5	14195354	14195354	1	*	10.5268	Intron (ENSMUST00000130116.1/20349, intron 4 of 15)	5	14025276	14256689	231414	1	20349	ENSMUST00000073957.7	170078	ENSMUSG00000063531
IP1_peak_212	Marcks	myristoylated alanine rich protein kinase C substrate	chr10	37440524	37440524	1	*	10.52308	Distal Intergenic	10	37133375	37138920	5546	2	17118	ENSMUST00000092584.5	-301604	ENSMUSG00000069662
IP1_peak_574	Cdkal1	CDK5 regulatory subunit associated protein 1-like 1	chr13	29824037	29824037	1	*	10.52308	Intron (ENSMUST00000140278.7/68916, intron 4 of 16)	13	29777296	29855431	78136	2	68916	ENSMUST00000124532.7	31394	ENSMUSG00000006191
IP1_peak_969	Epcip	exosomal polycystin 1 interacting protein	chr16	91140637	91140637	1	*	10.52308	Intron (ENSMUST00000231396.1/ENSMUST00000231396.1, intron 2 of 2)	16	91055838	91095122	39285	2	74387	ENSMUST00000146047.1	-45515	ENSMUSG00000039851
IP1_peak_1399	1110015O18Rik	RIKEN cDNA 1110015O18 gene	chr3	4796988	4796988	1	*	10.52308	Promoter (1-2kb)	3	4798708	4814911	16204	1	100503859	ENSMUST00000183944.7	-1720	ENSMUSG00000098659
IP1_peak_2070	Idh2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	chr7	80143596	80143596	1	*	10.52308	Distal Intergenic	7	80094846	80115392	20547	2	269951	ENSMUST00000107384.9	-28204	ENSMUSG00000030541
IP1_peak_2433	1700020M21Rik	RIKEN cDNA 1700020M21 gene	chr9	120869483	120869483	1	*	10.52308	Exon (ENSMUST00000216269.1/ENSMUST00000216269.1, exon 1 of 4)	9	120913774	120915252	1479	2	76402	ENSMUST00000188320.1	45769	ENSMUSG00000100146
IP1_peak_871	LOC100043315	uncharacterized LOC100043315	chr15	95217197	95217197	1	*	10.49039	Intron (ENSMUST00000229933.1/54003, intron 20 of 20)	15	95097542	95162394	64853	2	100043315	ENSMUST00000189291.6	-54803	ENSMUSG00000100603
IP1_peak_1070	Ctnna1	catenin alpha 1	chr18	35214976	35214976	1	*	10.49039	Promoter (<=1kb)	18	35214956	35223575	8620	1	12385	ENSMUST00000235269.1	20	ENSMUSG00000037815
IP1_peak_1297	Paupar	Pax6 upstream antisense RNA	chr2	105612344	105612344	1	*	10.49039	Intron (ENSMUST00000149133.7/402728, intron 1 of 3)	2	105657862	105661343	3482	2	103164605	ENSMUST00000194826.2	48999	ENSMUSG00000102424
IP1_peak_2404	Mir7243	microRNA 7243	chr9	102235664	102235664	1	*	10.49039	Intron (ENSMUST00000035129.13/270190, intron 1 of 15)	9	102304924	102304975	52	2	102466241	ENSMUST00000184048.1	69311	ENSMUSG00000098521
IP1_peak_2069	Rhcg	Rhesus blood group-associated C glycoprotein	chr7	79578888	79578888	1	*	10.41504	Exon (ENSMUST00000206461.1/ENSMUST00000206461.1, exon 1 of 2)	7	79593369	79594929	1561	2	56315	ENSMUST00000172788.2	16041	ENSMUSG00000030549
IP1_peak_606	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	chr13	51930501	51930501	1	*	10.38909	Distal Intergenic	13	51846744	51848224	1481	1	23882	ENSMUST00000132480.1	83757	ENSMUSG00000021453
IP1_peak_55	Tns1	tensin 1	chr1	74111611	74111611	1	*	10.34141	Intron (ENSMUST00000169786.7/21961, intron 1 of 34)	1	73910231	74124447	214217	2	21961	ENSMUST00000169786.7	12836	ENSMUSG00000055322
IP1_peak_266	1700113H08Rik	RIKEN cDNA 1700113H08 gene	chr10	87109226	87109226	1	*	10.34141	Intron (ENSMUST00000189456.6/76640, intron 2 of 4)	10	87058046	87230588	172543	1	76640	ENSMUST00000169849.2	51180	ENSMUSG00000047129
IP1_peak_434	Enpp7	ectonucleotide pyrophosphatase/phosphodiesterase 7	chr11	118955143	118955143	1	*	10.34141	Distal Intergenic	11	118988188	118992841	4654	1	238011	ENSMUST00000092373.12	-33045	ENSMUSG00000046697
IP1_peak_351	Pitpnm3	PITPNM family member 3	chr11	72068282	72068282	1	*	10.29939	Exon (ENSMUST00000142471.1/327958, exon 8 of 8)	11	72057645	72061561	3917	2	327958	ENSMUST00000132781.1	-6721	ENSMUSG00000040543
IP1_peak_374	Lhx1os	LIM homeobox 1, opposite strand	chr11	84578972	84578972	1	*	10.25942	Distal Intergenic	11	84525684	84535830	10147	1	78365	ENSMUST00000128121.1	53288	ENSMUSG00000087211
IP1_peak_228	Sh3rf3	SH3 domain containing ring finger 3	chr10	58907170	58907170	1	*	10.24762	Intron (ENSMUST00000135526.8/237353, intron 1 of 3)	10	58814059	59007193	193135	1	237353	ENSMUST00000133151.1	93111	ENSMUSG00000037990
IP1_peak_1817	Fbxw8	F-box and WD-40 domain protein 8	chr5	118099485	118099485	1	*	10.19468	Intron (ENSMUST00000049474.8/231672, intron 5 of 10)	5	118077052	118155426	78375	2	231672	ENSMUST00000201545.1	55941	ENSMUSG00000032867
IP1_peak_1380	Nfatc2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2	chr2	168585083	168585083	1	*	10.13025	Intron (ENSMUST00000074618.9/18019, intron 1 of 9)	2	168519098	168590191	71094	2	18019	ENSMUST00000029057.12	5108	ENSMUSG00000027544
IP1_peak_2097	Lmo1	LIM domain only 1	chr7	109191997	109191997	1	*	10.13025	Distal Intergenic	7	109138675	109175207	36533	2	109594	ENSMUST00000207178.1	-16790	ENSMUSG00000036111
IP1_peak_2103	Tead1	TEA domain family member 1	chr7	112743826	112743826	1	*	10.13025	Promoter (1-2kb)	7	112742045	112898660	156616	1	21676	ENSMUST00000164363.7	1781	ENSMUSG00000055320
IP1_peak_460	Sox11	SRY (sex determining region Y)-box 11	chr12	27566318	27566318	1	*	10.1196	Distal Intergenic	12	27334264	27342574	8311	2	20666	ENSMUST00000079063.6	-223744	ENSMUSG00000063632
IP1_peak_794	Gm10389	predicted gene 10389	chr15	10655562	10655562	1	*	10.1196	Intron (ENSMUST00000090339.10/75646, intron 2 of 17)	15	10600337	10607491	7155	1	100038608	ENSMUST00000228059.1	55225	ENSMUSG00000115667
IP1_peak_1056	Fzd8	frizzled class receptor 8	chr18	8870694	8870694	1	*	10.1196	Distal Intergenic	18	9212163	9218136	5974	1	14370	ENSMUST00000041080.6	-341469	ENSMUSG00000036904
IP1_peak_1634	Eif2b3	eukaryotic translation initiation factor 2B, subunit 3	chr4	117040156	117040156	1	*	10.1196	Intron (ENSMUST00000106448.8/108067, intron 3 of 11)	4	117044476	117059325	14850	1	108067	ENSMUST00000135121.1	-4320	ENSMUSG00000028683
IP1_peak_1672	Arid1a	AT-rich interaction domain 1A	chr4	133729920	133729920	1	*	10.1196	Intron (ENSMUST00000105897.9/93760, intron 1 of 19)	4	133720779	133723879	3101	2	93760	ENSMUST00000139709.2	-6041	ENSMUSG00000007880
IP1_peak_2289	Acsf3	acyl-CoA synthetase family member 3	chr8	122775344	122775344	1	*	10.1196	Promoter (<=1kb)	8	122775486	122791281	15796	1	257633	ENSMUST00000212903.1	-142	ENSMUSG00000015016
IP1_peak_1378	Kcng1	potassium voltage-gated channel, subfamily G, member 1	chr2	168254014	168254014	1	*	10.06561	Distal Intergenic	2	168261698	168269331	7634	2	241794	ENSMUST00000099069.2	15317	ENSMUSG00000074575
IP1_peak_2227	4933402J07Rik	RIKEN cDNA 4933402J07 gene	chr8	87668479	87668479	1	*	10.00123	Intron (ENSMUST00000165770.8/94187, intron 5 of 5)	8	87563853	87589424	25572	1	330820	ENSMUST00000093342.5	104626	ENSMUSG00000069971
IP1_peak_2292	6030466F02Rik	RIKEN cDNA 6030466F02 gene	chr8	123716426	123716426	1	*	10.00123	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	8	123733958	123739941	5984	1	234863	ENSMUST00000212339.1	-17532	ENSMUSG00000110599
IP1_peak_409	Slc39a11	solute carrier family 39 (metal ion transporter), member 11	chr11	113439706	113439706	1	*	9.92452	Intron (ENSMUST00000071539.9/69806, intron 5 of 9)	11	113244853	113565756	320904	2	69806	ENSMUST00000071539.9	126050	ENSMUSG00000041654
IP1_peak_1804	Grk3	G protein-coupled receptor kinase 3	chr5	113041712	113041712	1	*	9.92452	Distal Intergenic	5	112917745	113015791	98047	2	320129	ENSMUST00000197888.4	-25921	ENSMUSG00000042249
IP1_peak_1882	Elfn1	leucine rich repeat and fibronectin type III, extracellular 1	chr5	139889649	139889649	1	*	9.92452	Distal Intergenic	5	139907943	139974722	66780	1	243312	ENSMUST00000050519.7	-18294	ENSMUSG00000048988
IP1_peak_88	Tmem177	transmembrane protein 177	chr1	119902655	119902655	1	*	9.90321	Distal Intergenic	1	119907890	119913208	5319	2	66343	ENSMUST00000037906.5	10553	ENSMUSG00000036975
IP1_peak_105	Pik3c2b	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	chr1	133080499	133080499	1	*	9.90321	Intron (ENSMUST00000124934.7/240752, intron 11 of 11)	1	133046012	133108687	62676	1	240752	ENSMUST00000077730.6	34487	ENSMUSG00000026447
IP1_peak_133	Rabgap1l	RAB GTPase activating protein 1-like	chr1	160531599	160531599	1	*	9.90321	Intron (ENSMUST00000028049.12/29809, intron 13 of 20)	1	160441600	160453773	12174	2	29809	ENSMUST00000194696.1	-77826	ENSMUSG00000026721
IP1_peak_462	Sox11	SRY (sex determining region Y)-box 11	chr12	27646735	27646735	1	*	9.90321	Distal Intergenic	12	27334264	27342574	8311	2	20666	ENSMUST00000079063.6	-304161	ENSMUSG00000063632
IP1_peak_513	Nrxn3	neurexin III	chr12	88859973	88859973	1	*	9.90321	Intron (ENSMUST00000167734.7/18191, intron 4 of 7)	12	88795439	88853243	57805	1	18191	ENSMUST00000164072.1	64534	ENSMUSG00000066392
IP1_peak_534	Golga5	golgin A5	chr12	102511618	102511618	1	*	9.90321	Distal Intergenic	12	102484457	102497582	13126	1	27277	ENSMUST00000222744.1	27161	ENSMUSG00000021192
IP1_peak_775	Lmo7	LIM domain only 7	chr14	102329700	102329700	1	*	9.90321	Distal Intergenic	14	101929261	101932866	3606	1	380928	ENSMUST00000160038.1	400439	ENSMUSG00000033060
IP1_peak_877	Scn8a	sodium channel, voltage-gated, type VIII, alpha	chr15	100910050	100910050	1	*	9.90321	Intron (ENSMUST00000201484.3/20273, intron 2 of 2)	15	100933429	100940798	7370	1	20273	ENSMUST00000096198.9	-23379	ENSMUSG00000023033
IP1_peak_1210	Mir133c	microRNA 133c	chr2	29465748	29465748	1	*	9.90321	Intron (ENSMUST00000028139.10/68975, intron 3 of 7)	2	29475215	29475294	80	2	102465170	ENSMUST00000184068.1	9546	ENSMUSG00000098539
IP1_peak_1388	1700028P15Rik	RIKEN cDNA 1700028P15 gene	chr2	171713326	171713326	1	*	9.90321	Distal Intergenic	2	171958188	171962131	3944	2	75655	ENSMUST00000151904.1	248805	ENSMUSG00000086823
IP1_peak_1600	Gm12695	predicted gene 12695	chr4	96969324	96969324	1	*	9.90321	Distal Intergenic	4	96723647	96785186	61540	2	620779	ENSMUST00000107071.1	-184138	ENSMUSG00000078639
IP1_peak_1923	Tmem178b	transmembrane protein 178B	chr6	39904061	39904061	1	*	9.90321	Intron (ENSMUST00000239008.1/434008, intron 1 of 3)	6	39873071	40255075	382005	1	434008	ENSMUST00000180886.2	30990	ENSMUSG00000057716
IP1_peak_2427	4933432G23Rik	RIKEN cDNA 4933432G23 gene	chr9	118328109	118328109	1	*	9.90321	Distal Intergenic	9	118429836	118437048	7213	1	71196	ENSMUST00000213675.1	-101727	ENSMUSG00000111843
IP1_peak_841	Gsdmd	gasdermin D	chr15	75856855	75856855	1	*	9.89576	Distal Intergenic	15	75862327	75867408	5082	1	69146	ENSMUST00000023238.5	-5472	ENSMUSG00000022575
IP1_peak_2459	1700020D14Rik	RIKEN cDNA 1700020D14 gene	chrY	263596	263596	1	*	9.86891	Distal Intergenic	21	206151	207788	1638	1	69438	ENSMUST00000185226.1	57445	ENSMUSG00000101796
IP1_peak_413	Sdk2	sidekick cell adhesion molecule 2	chr11	113785635	113785635	1	*	9.84622	Intron (ENSMUST00000041627.13/237979, intron 44 of 44)	11	113793839	113810423	16585	2	237979	ENSMUST00000156955.1	24788	ENSMUSG00000041592
IP1_peak_1791	Ttc28	tetratricopeptide repeat domain 28	chr5	111270445	111270445	1	*	9.81063	Intron (ENSMUST00000040111.9/209683, intron 14 of 23)	5	111235315	111266599	31285	1	209683	ENSMUST00000129017.1	35130	ENSMUSG00000033209
